,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,orig_adapter
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:10:00Z,3413.333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:20:00Z,4313.333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:30:00Z,4475.833,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:40:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:50:00Z,3171.667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:10:00Z,3584.167,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:20:00Z,2425.833,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:30:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:40:00Z,1648.333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:50:00Z,1793.333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:00:00Z,4425,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:10:00Z,4309.167,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:20:00Z,3284.167,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:30:00Z,3705.833,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:40:00Z,4075.833,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:50:00Z,2641.667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T10:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T10:10:00Z,1797.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T10:20:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T10:30:00Z,474.1667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T10:40:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T10:50:00Z,53.33333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T11:00:00Z,6.666667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T11:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T11:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T11:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T11:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T11:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
